Match _date,Format,Year,Opposition,Ground,Position,Inns,Runs,Mins,BF,Fours,Sixes,Sr,Dismissal,Not Out
26-06-2007,ODI,2007, South Africa,Belfast,7,1,8,13,9,0,0,88.88,bowled,No
20-09-2007,T20I,2007, South Africa,Durban,5,1,50,52,40,7,2,125.00,not out,Yes
22-09-2007,T20I,2007, Australia,Durban,6,1,8,11,5,0,1,160.00,not out,Yes
24-09-2007,T20I,2007, Pakistan,Johannesburg,6,1,30,22,16,2,1,187.50,not out,Yes
05-10-2007,ODI,2007, Australia,Hyderabad,7,2,1,3,4,0,0,25.00,caught,No
18-11-2007,ODI,2007, Pakistan,Jaipur,5,2,52,82,61,3,1,85.24,caught,No
01-02-2008,T20I,2008, Australia,Melbourne,5,1,8,15,8,1,0,100.00,bowled,No
03-02-2008,ODI,2008, Australia,Brisbane,4,1,29,68,43,5,0,67.44,caught,No
05-02-2008,ODI,2008, Sri Lanka,Brisbane,5,1,0,1,2,0,0,0.00,caught,No
10-02-2008,ODI,2008, Australia,Melbourne,6,2,39,86,61,2,0,63.93,not out,Yes
12-02-2008,ODI,2008, Sri Lanka,Canberra,4,1,70,93,64,6,1,109.37,not out,Yes
17-02-2008,ODI,2008, Australia,Adelaide,4,2,1,12,3,0,0,33.33,caught,No
19-02-2008,ODI,2008, Sri Lanka,Adelaide,4,2,24,74,36,1,0,66.66,caught,No
24-02-2008,ODI,2008, Australia,Sydney,4,2,1,3,3,0,0,33.33,caught,No
26-02-2008,ODI,2008, Sri Lanka,Hobart,5,2,3,8,7,0,0,42.85,not out,Yes
02-03-2008,ODI,2008, Australia,Sydney,5,2,66,108,87,6,0,75.86,bowled,No
04-03-2008,ODI,2008, Australia,Brisbane,6,1,2,6,5,0,0,40.00,caught,No
10-06-2008,ODI,2008, Pakistan,Mirpur,5,1,9,28,27,0,0,33.33,bowled,No
12-06-2008,ODI,2008, Bangladesh,Mirpur,3,2,26,50,43,1,1,60.46,caught,No
14-06-2008,ODI,2008, Pakistan,Mirpur,3,2,24,43,27,5,0,88.88,caught,No
25-06-2008,ODI,2008, Hong Kong,Karachi,3,1,11,37,29,0,0,37.93,run out,No
26-06-2008,ODI,2008, Pakistan,Karachi,6,2,0,3,1,0,0,0.00,not out,Yes
28-06-2008,ODI,2008, Bangladesh,Karachi,3,2,22,28,23,2,0,95.65,caught,No
02-07-2008,ODI,2008, Pakistan,Karachi,6,1,58,81,71,4,0,81.69,caught,No
03-07-2008,ODI,2008, Sri Lanka,Karachi,6,2,22,37,28,2,0,78.57,not out,Yes
06-07-2008,ODI,2008, Sri Lanka,Karachi,6,2,3,8,8,0,0,37.50,lbw,No
18-08-2008,ODI,2008, Sri Lanka,Dambulla,5,1,19,46,31,1,1,61.29,caught,No
20-08-2008,ODI,2008, Sri Lanka,Dambulla,6,2,0,2,2,0,0,0.00,lbw,No
24-08-2008,ODI,2008, Sri Lanka,Colombo (RPS),7,1,32,39,32,3,0,100.00,caught,No
27-08-2008,ODI,2008, Sri Lanka,Colombo (RPS),6,1,18,30,23,0,0,78.26,caught,No
29-08-2008,ODI,2008, Sri Lanka,Colombo (RPS),5,2,3,11,5,0,0,60.00,lbw,No
14-11-2008,ODI,2008, England,Rajkot,7,1,11,30,8,1,0,137.50,not out,Yes
17-11-2008,ODI,2008, England,Indore,4,1,3,16,13,0,0,23.07,caught,No
20-11-2008,ODI,2008, England,Kanpur,4,2,28,54,41,3,0,68.29,caught,No
26-11-2008,ODI,2008, England,Cuttack,6,2,8,13,10,1,0,80.00,not out,Yes
28-01-2009,ODI,2009, Sri Lanka,Dambulla,6,2,25,44,30,3,0,83.33,not out,Yes
05-02-2009,ODI,2009, Sri Lanka,Colombo (RPS),7,1,4,12,6,0,0,66.66,not out,Yes
08-02-2009,ODI,2009, Sri Lanka,Colombo (RPS),5,2,15,31,22,1,0,68.18,caught,No
10-02-2009,T20I,2009, Sri Lanka,Colombo (RPS),6,2,4,13,11,0,0,36.36,caught,No
25-02-2009,T20I,2009, New Zealand,Christchurch,4,1,7,9,7,0,1,100.00,caught,No
14-03-2009,ODI,2009, New Zealand,Auckland,4,1,43,106,74,1,1,58.10,not out,Yes
06-06-2009,T20I,2009, Bangladesh,Nottingham,2,1,36,34,23,3,2,156.52,bowled,No
10-06-2009,T20I,2009, Ireland,Nottingham,2,2,52,61,45,4,1,115.55,not out,Yes
12-06-2009,T20I,2009, West Indies,Lord's,2,1,5,6,3,1,0,166.66,caught,No
14-06-2009,T20I,2009, England,Lord's,2,2,9,7,8,1,0,112.50,bowled,No
16-06-2009,T20I,2009, South Africa,Nottingham,2,2,29,39,28,3,0,103.57,caught,No
26-06-2009,ODI,2009, West Indies,Kingston,3,1,4,9,12,0,0,33.33,caught,No
28-06-2009,ODI,2009, West Indies,Kingston,3,1,0,7,2,0,0,0.00,caught,No
03-07-2009,ODI,2009, West Indies,Gros Islet,5,2,11,19,9,0,0,122.22,caught,No
09-12-2009,T20I,2009, Sri Lanka,Nagpur,5,2,3,6,4,0,0,75.00,run out,No
27-02-2010,ODI,2010, South Africa,Ahmedabad,4,2,48,62,61,3,0,78.68,caught,No
07-05-2010,T20I,2010, Australia,Bridgetown,4,2,79,65,46,4,6,171.73,not out,Yes
09-05-2010,T20I,2010, West Indies,Bridgetown,4,2,5,10,8,1,0,62.50,caught,No
28-05-2010,ODI,2010, Zimbabwe,Bulawayo,4,1,114,135,119,6,4,95.79,caught,No
30-05-2010,ODI,2010, Sri Lanka,Bulawayo,4,2,101,126,100,6,2,101.00,not out,Yes
03-06-2010,ODI,2010, Zimbabwe,Harare,4,1,13,34,25,0,0,52.00,run out,No
05-06-2010,ODI,2010, Sri Lanka,Harare,5,1,32,43,40,1,0,80.00,bowled,No
12-06-2010,T20I,2010, Zimbabwe,Harare,4,2,10,22,15,1,0,66.66,stumped,No
13-06-2010,T20I,2010, Zimbabwe,Harare,5,2,0,1,0,0,0,0.00,not out,Yes
16-06-2010,ODI,2010, Bangladesh,Dambulla,4,2,0,1,1,0,0,0.00,lbw,No
19-06-2010,ODI,2010, Pakistan,Dambulla,5,2,22,20,24,2,0,91.66,lbw,No
22-06-2010,ODI,2010, Sri Lanka,Dambulla,4,1,69,118,73,7,0,94.52,run out,No
24-06-2010,ODI,2010, Sri Lanka,Dambulla,5,1,41,80,52,3,0,78.84,caught,No
10-08-2010,ODI,2010, New Zealand,Dambulla,3,2,4,13,11,0,0,36.36,caught,No
16-08-2010,ODI,2010, Sri Lanka,Dambulla,4,2,0,3,2,0,0,0.00,lbw,No
22-08-2010,ODI,2010, Sri Lanka,Dambulla,3,1,11,0,21,2,0,52.38,lbw,No
28-08-2010,ODI,2010, Sri Lanka,Dambulla,7,2,5,16,9,0,0,55.55,stumped,No
07-12-2010,ODI,2010, New Zealand,Bengaluru,5,2,44,56,48,4,1,91.66,caught,No
09-01-2011,T20I,2011, South Africa,Durban,3,1,53,38,34,5,2,155.88,caught,No
12-01-2011,ODI,2011, South Africa,Durban,4,2,11,28,27,1,0,40.74,caught,No
15-01-2011,ODI,2011, South Africa,Johannesburg,7,1,9,29,14,1,0,64.28,lbw,No
18-01-2011,ODI,2011, South Africa,Cape Town,1,2,23,67,45,2,0,51.11,bowled,No
21-01-2011,ODI,2011, South Africa,Gqeberha,1,2,1,6,6,0,0,16.66,caught,No
23-01-2011,ODI,2011, South Africa,Centurion,2,2,5,15,8,1,0,62.50,bowled,No
04-06-2011,T20I,2011, West Indies,Port of Spain,6,1,26,33,23,0,2,113.04,bowled,No
06-06-2011,ODI,2011, West Indies,Port of Spain,5,2,68,131,75,3,1,90.66,not out,Yes
08-06-2011,ODI,2011, West Indies,Port of Spain,5,2,7,8,14,1,0,50.00,not out,Yes
11-06-2011,ODI,2011, West Indies,North Sound,5,2,86,137,91,5,2,94.50,not out,Yes
13-06-2011,ODI,2011, West Indies,North Sound,5,2,39,60,47,0,1,82.97,caught,No
16-06-2011,ODI,2011, West Indies,Kingston,5,1,57,105,72,2,1,79.16,bowled,No
31-08-2011,T20I,2011, England,Manchester,5,1,1,7,3,0,0,33.33,stumped,No
03-09-2011,ODI,2011, England,Chester-le-Street,5,1,0,1,1,0,0,0.00,retired notout,Yes
29-11-2011,ODI,2011, West Indies,Cuttack,5,2,72,185,99,3,1,72.72,bowled,No
02-12-2011,ODI,2011, West Indies,Visakhapatnam,5,2,90,131,98,7,2,91.83,not out,Yes
05-12-2011,ODI,2011, West Indies,Ahmedabad,5,2,95,151,100,10,1,95.00,run out,No
08-12-2011,ODI,2011, West Indies,Indore,5,1,27,21,16,3,0,168.75,bowled,No
11-12-2011,ODI,2011, West Indies,Chennai,6,1,21,31,26,1,0,80.76,bowled,No
01-02-2012,T20I,2012, Australia,Sydney,5,2,0,2,1,0,0,0.00,bowled,No
05-02-2012,ODI,2012, Australia,Melbourne,4,2,21,34,21,2,0,100.00,caught,No
08-02-2012,ODI,2012, Sri Lanka,W.A.C.A,4,2,10,29,17,1,0,58.82,caught,No
12-02-2012,ODI,2012, Australia,Adelaide,4,2,33,49,41,1,1,80.48,caught,No
14-02-2012,ODI,2012, Sri Lanka,Adelaide,4,2,15,30,27,2,0,55.55,run out,No
19-02-2012,ODI,2012, Australia,Brisbane,4,2,0,6,5,0,0,0.00,caught,No
16-03-2012,ODI,2012, Bangladesh,Mirpur,6,1,4,9,6,0,0,66.66,run out,No
18-03-2012,ODI,2012, Pakistan,Mirpur,4,2,68,109,83,5,1,81.92,caught,No
21-07-2012,ODI,2012, Sri Lanka,Hambantota,4,1,5,10,8,0,0,62.50,bowled,No
24-07-2012,ODI,2012, Sri Lanka,Hambantota,4,1,0,5,5,0,0,0.00,bowled,No
28-07-2012,ODI,2012, Sri Lanka,Colombo (RPS),5,2,0,1,1,0,0,0.00,lbw,No
31-07-2012,ODI,2012, Sri Lanka,Colombo (RPS),4,2,4,18,14,0,0,28.57,lbw,No
04-08-2012,ODI,2012, Sri Lanka,Pallekele,4,1,4,12,9,1,0,44.44,bowled,No
11-09-2012,T20I,2012, New Zealand,Chennai,6,2,4,2,2,0,0,200.00,not out,Yes
19-09-2012,T20I,2012, Afghanistan,Colombo (RPS),7,1,1,2,1,0,0,100.00,not out,Yes
23-09-2012,T20I,2012, England,Colombo (RPS),4,1,55,48,33,5,1,166.66,not out,Yes
28-09-2012,T20I,2012, Australia,Colombo (RPS),5,1,1,5,2,0,0,50.00,bowled,No
02-10-2012,T20I,2012, South Africa,Colombo (RPS),4,1,25,48,27,2,0,92.59,lbw,No
22-12-2012,T20I,2012, England,Wankhede,5,1,24,28,19,1,1,126.31,bowled,No
25-12-2012,T20I,2012, Pakistan,Bengaluru,7,1,2,8,2,0,0,100.00,run out,No
28-12-2012,T20I,2012, Pakistan,Ahmedabad,7,1,4,1,2,1,0,200.00,not out,Yes
30-12-2012,ODI,2012, Pakistan,Chennai,5,1,4,19,14,0,0,28.57,caught,No
23-01-2013,ODI,2013, England,Mohali,2,2,83,135,93,11,1,89.24,lbw,No
27-01-2013,ODI,2013, England,Dharamsala,2,1,4,15,9,1,0,44.44,caught,No
06-06-2013,ODI,2013, South Africa,Cardiff,1,1,65,96,81,8,1,80.24,caught,No
11-06-2013,ODI,2013, West Indies,The Oval,1,2,52,78,56,7,0,92.85,caught,No
15-06-2013,ODI,2013, Pakistan,Birmingham,1,2,18,54,32,2,0,56.25,caught,No
20-06-2013,ODI,2013, Sri Lanka,Cardiff,1,2,33,77,50,4,0,66.00,bowled,No
23-06-2013,ODI,2013, England,Birmingham,1,1,9,18,14,1,0,64.28,bowled,No
30-06-2013,ODI,2013, West Indies,Kingston,1,1,60,129,89,4,1,67.41,caught,No
02-07-2013,ODI,2013, Sri Lanka,Kingston,1,2,5,16,13,0,0,38.46,caught,No
05-07-2013,ODI,2013, West Indies,Port of Spain,1,1,46,124,78,5,0,58.97,caught,No
09-07-2013,ODI,2013, Sri Lanka,Port of Spain,1,1,48,126,83,2,1,57.83,not out,Yes
11-07-2013,ODI,2013, Sri Lanka,Port of Spain,1,2,58,146,89,5,1,65.16,bowled,No
24-07-2013,ODI,2013, Zimbabwe,Harare,1,2,20,57,40,2,0,50.00,caught,No
26-07-2013,ODI,2013, Zimbabwe,Harare,1,1,1,5,7,0,0,14.28,caught,No
28-07-2013,ODI,2013, Zimbabwe,Harare,1,2,14,27,21,2,0,66.66,caught,No
01-08-2013,ODI,2013, Zimbabwe,Bulawayo,2,2,64,123,90,5,1,71.11,not out,Yes
10-10-2013,T20I,2013, Australia,Rajkot,1,2,8,8,8,0,1,100.00,caught,No
13-10-2013,ODI,2013, Australia,Pune,2,2,42,62,47,6,0,89.36,caught,No
16-10-2013,ODI,2013, Australia,Jaipur,1,2,141,195,123,17,4,114.63,not out,Yes
19-10-2013,ODI,2013, Australia,Mohali,1,1,11,33,22,2,0,50.00,caught,No
23-10-2013,ODI,2013, Australia,Ranchi,1,2,9,19,13,1,0,69.23,not out,Yes
30-10-2013,ODI,2013, Australia,Nagpur,1,2,79,119,89,7,3,88.76,caught,No
02-11-2013,ODI,2013, Australia,Bengaluru,1,1,209,222,158,12,16,132.27,caught,No
06-11-2013,Test,2013, West Indies,Eden Gardens,6,2,177,370,301,23,1,58.80,lbw,No
14-11-2013,Test,2013, West Indies,Wankhede,6,2,111,181,127,11,3,87.40,not out,Yes
21-11-2013,ODI,2013, West Indies,Kochi,1,2,72,105,81,8,1,88.88,caught,No
24-11-2013,ODI,2013, West Indies,Visakhapatnam,1,1,12,20,19,3,0,63.15,caught,No
27-11-2013,ODI,2013, West Indies,Kanpur,1,2,4,19,14,0,0,28.57,caught,No
05-12-2013,ODI,2013, South Africa,Johannesburg,1,2,18,69,43,2,0,41.86,run out,No
08-12-2013,ODI,2013, South Africa,Durban,1,2,19,34,26,2,0,73.07,caught,No
18-12-2013,Test,2013, South Africa,Johannesburg,5,1,14,46,42,1,0,33.33,caught,No
18-12-2013,Test,2013, South Africa,Johannesburg,5,3,6,19,13,1,0,46.15,bowled,No
26-12-2013,Test,2013, South Africa,Durban,5,1,0,2,1,0,0,0.00,bowled,No
26-12-2013,Test,2013, South Africa,Durban,5,3,25,69,46,2,1,54.34,lbw,No
19-01-2014,ODI,2014, New Zealand,Napier,1,2,3,24,23,0,0,13.04,caught,No
22-01-2014,ODI,2014, New Zealand,Hamilton,2,2,20,42,34,2,1,58.82,caught,No
25-01-2014,ODI,2014, New Zealand,Auckland,1,2,39,65,38,1,4,102.63,caught,No
28-01-2014,ODI,2014, New Zealand,Hamilton,1,1,79,131,94,6,4,84.04,caught,No
31-01-2014,ODI,2014, New Zealand,Wellington,1,2,4,20,13,0,0,30.76,caught,No
06-02-2014,Test,2014, New Zealand,Auckland,5,2,72,167,120,8,1,60.00,bowled,No
06-02-2014,Test,2014, New Zealand,Auckland,5,4,19,90,59,2,0,32.20,caught,No
14-02-2014,Test,2014, New Zealand,Wellington,6,2,0,11,3,0,0,0.00,bowled,No
14-02-2014,Test,2014, New Zealand,Wellington,5,4,31,122,97,4,0,31.95,not out,Yes
26-02-2014,ODI,2014, Bangladesh,Fatullah,1,2,21,57,29,1,1,72.41,bowled,No
28-02-2014,ODI,2014, Sri Lanka,Fatullah,1,1,13,37,28,1,0,46.42,lbw,No
02-03-2014,ODI,2014, Pakistan,Mirpur,1,1,56,86,58,7,2,96.55,caught,No
05-03-2014,ODI,2014, Afghanistan,Mirpur,3,2,18,36,24,1,0,75.00,not out,Yes
21-03-2014,T20I,2014, Pakistan,Mirpur,1,2,24,41,21,1,2,114.28,bowled,No
23-03-2014,T20I,2014, West Indies,Mirpur,1,2,62,83,55,5,2,112.72,not out,Yes
28-03-2014,T20I,2014, Bangladesh,Mirpur,1,2,56,60,44,5,1,127.27,caught,No
30-03-2014,T20I,2014, Australia,Mirpur,1,1,5,1,3,1,0,166.66,caught,No
04-04-2014,T20I,2014, South Africa,Mirpur,1,2,24,17,13,4,1,184.61,caught,No
06-04-2014,T20I,2014, Sri Lanka,Mirpur,1,1,29,41,26,3,0,111.53,caught,No
27-07-2014,Test,2014, England,Southampton,6,2,28,81,61,3,0,45.90,caught,No
27-07-2014,Test,2014, England,Southampton,6,4,6,39,28,0,0,21.42,caught,No
27-08-2014,ODI,2014, England,Cardiff,1,1,52,126,87,4,1,59.77,caught,No
13-11-2014,ODI,2014, Sri Lanka,Eden Gardens,2,1,264,225,173,33,9,152.60,caught,No
16-11-2014,ODI,2014, Sri Lanka,Ranchi,2,2,9,18,12,2,0,75.00,bowled,No
09-12-2014,Test,2014, Australia,Adelaide,6,2,43,142,89,5,0,48.31,caught,No
09-12-2014,Test,2014, Australia,Adelaide,6,4,6,37,18,1,0,33.33,caught,No
17-12-2014,Test,2014, Australia,Brisbane,6,1,32,93,55,3,1,58.18,caught,No
17-12-2014,Test,2014, Australia,Brisbane,6,3,0,2,2,0,0,0.00,caught,No
06-01-2015,Test,2015, Australia,Sydney,3,2,53,179,133,5,2,39.84,bowled,No
06-01-2015,Test,2015, Australia,Sydney,3,4,39,102,90,2,2,43.33,caught,No
18-01-2015,ODI,2015, Australia,Melbourne,1,1,138,228,139,9,4,99.28,caught,No
15-02-2015,ODI,2015, Pakistan,Adelaide,1,1,15,35,20,2,0,75.00,caught,No
22-02-2015,ODI,2015, South Africa,Melbourne,1,1,0,13,6,0,0,0.00,run out,No
28-02-2015,ODI,2015, U.A.E.,W.A.C.A,1,2,57,77,55,10,1,103.63,not out,Yes
06-03-2015,ODI,2015, West Indies,W.A.C.A,1,2,7,30,18,1,0,38.88,caught,No
10-03-2015,ODI,2015, Ireland,Hamilton,1,2,64,99,66,3,3,96.96,bowled,No
14-03-2015,ODI,2015, Zimbabwe,Auckland,1,2,16,24,21,2,0,76.19,caught,No
19-03-2015,ODI,2015, Bangladesh,Melbourne,1,1,137,223,126,14,3,108.73,bowled,No
26-03-2015,ODI,2015, Australia,Sydney,1,2,34,83,48,1,2,70.83,bowled,No
10-06-2015,Test,2015, Bangladesh,Fatullah,3,1,6,11,9,1,0,66.66,bowled,No
18-06-2015,ODI,2015, Bangladesh,Mirpur,1,2,63,100,68,4,1,92.64,caught,No
21-06-2015,ODI,2015, Bangladesh,Mirpur,1,1,0,1,2,0,0,0.00,caught,No
24-06-2015,ODI,2015, Bangladesh,Mirpur,1,1,29,34,29,2,1,100.00,caught,No
12-08-2015,Test,2015, Sri Lanka,Galle,3,2,9,33,24,1,0,37.50,lbw,No
12-08-2015,Test,2015, Sri Lanka,Galle,4,4,4,16,16,1,0,25.00,bowled,No
20-08-2015,Test,2015, Sri Lanka,Colombo (PSS),5,1,79,185,132,5,3,59.84,lbw,No
20-08-2015,Test,2015, Sri Lanka,Colombo (PSS),5,3,34,100,55,2,0,61.81,caught,No
28-08-2015,Test,2015, Sri Lanka,Colombo (SSC),5,1,26,95,65,3,1,40.00,caught,No
28-08-2015,Test,2015, Sri Lanka,Colombo (SSC),5,3,50,131,72,4,1,69.44,caught,No
02-10-2015,T20I,2015, South Africa,Dharamsala,1,1,106,79,66,12,5,160.60,caught,No
05-10-2015,T20I,2015, South Africa,Cuttack,1,1,22,40,24,2,0,91.66,run out,No
11-10-2015,ODI,2015, South Africa,Kanpur,1,2,150,215,133,13,6,112.78,caught,No
14-10-2015,ODI,2015, South Africa,Indore,1,1,3,6,10,0,0,30.00,bowled,No
18-10-2015,ODI,2015, South Africa,Rajkot,1,2,65,95,74,7,2,87.83,caught,No
22-10-2015,ODI,2015, South Africa,Chennai,1,1,21,21,19,4,0,110.52,caught,No
25-10-2015,ODI,2015, South Africa,Wankhede,1,2,16,21,20,3,0,80.00,caught,No
25-11-2015,Test,2015, South Africa,Nagpur,6,1,2,41,28,0,0,7.14,caught,No
25-11-2015,Test,2015, South Africa,Nagpur,6,3,23,77,39,1,1,58.97,caught,No
03-12-2015,Test,2015, South Africa,Delhi,6,1,1,15,6,0,0,16.66,caught,No
03-12-2015,Test,2015, South Africa,Delhi,3,3,0,7,1,0,0,0.00,bowled,No
12-01-2016,ODI,2016, Australia,W.A.C.A,1,1,171,205,163,13,7,104.90,not out,Yes
15-01-2016,ODI,2016, Australia,Brisbane,1,1,124,175,127,11,3,97.63,run out,No
17-01-2016,ODI,2016, Australia,Melbourne,1,1,6,17,11,0,0,54.54,caught,No
20-01-2016,ODI,2016, Australia,Canberra,1,2,41,28,25,2,3,164.00,caught,No
23-01-2016,ODI,2016, Australia,Sydney,1,2,99,142,108,9,1,91.66,caught,No
26-01-2016,T20I,2016, Australia,Adelaide,1,1,31,21,20,4,1,155.00,caught,No
29-01-2016,T20I,2016, Australia,Melbourne,1,1,60,69,47,5,2,127.65,run out,No
31-01-2016,T20I,2016, Australia,Sydney,1,2,52,57,38,5,1,136.84,caught,No
09-02-2016,T20I,2016, Sri Lanka,Pune,1,1,0,2,2,0,0,0.00,caught,No
12-02-2016,T20I,2016, Sri Lanka,Ranchi,1,1,43,0,36,2,1,119.44,caught,No
14-02-2016,T20I,2016, Sri Lanka,Visakhapatnam,1,2,13,0,13,1,1,100.00,lbw,No
24-02-2016,T20I,2016, Bangladesh,Mirpur,1,1,83,90,55,7,3,150.90,caught,No
27-02-2016,T20I,2016, Pakistan,Mirpur,1,2,0,2,2,0,0,0.00,lbw,No
01-03-2016,T20I,2016, Sri Lanka,Mirpur,2,2,15,15,14,3,0,107.14,caught,No
03-03-2016,T20I,2016, U.A.E.,Mirpur,1,2,39,26,28,7,1,139.28,caught,No
06-03-2016,T20I,2016, Bangladesh,Mirpur,1,2,1,8,5,0,0,20.00,caught,No
15-03-2016,T20I,2016, New Zealand,Nagpur,1,2,5,0,7,0,0,71.42,stumped,No
19-03-2016,T20I,2016, Pakistan,Eden Gardens,1,2,10,11,11,2,0,90.90,caught,No
23-03-2016,T20I,2016, Bangladesh,Bengaluru,1,1,18,29,16,1,1,112.50,caught,No
27-03-2016,T20I,2016, Australia,Mohali,1,2,12,25,17,1,0,70.58,bowled,No
31-03-2016,T20I,2016, West Indies,Wankhede,1,1,43,29,31,3,3,138.70,lbw,No
09-08-2016,Test,2016, West Indies,Gros Islet,5,1,9,30,23,2,0,39.13,caught,No
09-08-2016,Test,2016, West Indies,Gros Islet,5,3,41,74,59,1,3,69.49,lbw,No
27-08-2016,T20I,2016, West Indies,Lauderhill,1,2,62,54,28,4,4,221.42,caught,No
28-08-2016,T20I,2016, West Indies,Lauderhill,1,2,10,9,8,0,1,125.00,not out,Yes
22-09-2016,Test,2016, New Zealand,Kanpur,6,1,35,96,67,3,1,52.23,caught,No
22-09-2016,Test,2016, New Zealand,Kanpur,6,3,68,156,93,8,0,73.11,not out,Yes
30-09-2016,Test,2016, New Zealand,Eden Gardens,6,1,2,22,12,0,0,16.66,caught,No
30-09-2016,Test,2016, New Zealand,Eden Gardens,6,3,82,214,132,9,2,62.12,caught,No
08-10-2016,Test,2016, New Zealand,Indore,6,1,51,90,63,3,2,80.95,not out,Yes
16-10-2016,ODI,2016, New Zealand,Dharamsala,1,2,14,44,26,1,1,53.84,lbw,No
20-10-2016,ODI,2016, New Zealand,Delhi,1,2,15,28,27,1,1,55.55,caught,No
23-10-2016,ODI,2016, New Zealand,Mohali,1,2,13,35,21,2,0,61.90,lbw,No
26-10-2016,ODI,2016, New Zealand,Ranchi,2,2,11,15,19,2,0,57.89,caught,No
29-10-2016,ODI,2016, New Zealand,Visakhapatnam,2,1,70,107,65,5,3,107.69,caught,No
04-06-2017,ODI,2017, Pakistan,Birmingham,1,1,91,146,119,7,2,76.47,run out,No
08-06-2017,ODI,2017, Sri Lanka,The Oval,1,1,78,107,79,6,3,98.73,caught,No
11-06-2017,ODI,2017, South Africa,The Oval,1,2,12,23,20,1,1,60.00,caught,No
15-06-2017,ODI,2017, Bangladesh,Birmingham,1,2,123,165,129,15,1,95.34,not out,Yes
18-06-2017,ODI,2017, Pakistan,The Oval,1,2,0,4,3,0,0,0.00,lbw,No
20-08-2017,ODI,2017, Sri Lanka,Dambulla,1,2,4,0,13,0,0,30.76,run out,No
24-08-2017,ODI,2017, Sri Lanka,Pallekele,1,2,54,0,45,5,3,120.00,lbw,No
27-08-2017,ODI,2017, Sri Lanka,Pallekele,1,2,124,0,145,16,2,85.51,not out,Yes
31-08-2017,ODI,2017, Sri Lanka,Colombo (RPS),1,1,104,0,88,11,3,118.18,caught,No
03-09-2017,ODI,2017, Sri Lanka,Colombo (RPS),1,2,16,0,20,1,0,80.00,caught,No
06-09-2017,T20I,2017, Sri Lanka,Colombo (RPS),1,2,9,0,8,1,0,112.50,caught,No
17-09-2017,ODI,2017, Australia,Chennai,2,1,28,81,44,3,0,63.63,caught,No
21-09-2017,ODI,2017, Australia,Eden Gardens,2,1,7,24,14,1,0,50.00,caught,No
24-09-2017,ODI,2017, Australia,Indore,2,2,71,94,62,6,4,114.51,caught,No
28-09-2017,ODI,2017, Australia,Bengaluru,2,2,65,93,55,1,5,118.18,run out,No
01-10-2017,ODI,2017, Australia,Nagpur,2,2,125,165,109,11,5,114.67,caught,No
07-10-2017,T20I,2017, Australia,Ranchi,1,2,11,5,7,1,1,157.14,bowled,No
10-10-2017,T20I,2017, Australia,Guwahati,1,1,8,3,4,2,0,200.00,lbw,No
22-10-2017,ODI,2017, New Zealand,Wankhede,1,1,20,27,18,0,2,111.11,bowled,No
25-10-2017,ODI,2017, New Zealand,Pune,1,2,7,17,19,1,0,36.84,caught,No
29-10-2017,ODI,2017, New Zealand,Kanpur,1,1,147,168,138,18,2,106.52,caught,No
01-11-2017,T20I,2017, New Zealand,Delhi,1,1,80,85,55,6,4,145.45,caught,No
04-11-2017,T20I,2017, New Zealand,Rajkot,1,2,5,9,6,1,0,83.33,caught,No
07-11-2017,T20I,2017, New Zealand,Thiruvananthapuram,1,1,8,11,9,1,0,88.88,caught,No
24-11-2017,Test,2017, Sri Lanka,Nagpur,6,2,102,191,160,8,1,63.75,not out,Yes
02-12-2017,Test,2017, Sri Lanka,Delhi,6,1,65,129,102,7,2,63.72,caught,No
02-12-2017,Test,2017, Sri Lanka,Delhi,6,3,50,77,49,5,0,102.04,not out,Yes
10-12-2017,ODI,2017, Sri Lanka,Dharamsala,1,1,2,19,13,0,0,15.38,caught,No
13-12-2017,ODI,2017, Sri Lanka,Mohali,1,1,208,212,153,13,12,135.94,not out,Yes
17-12-2017,ODI,2017, Sri Lanka,Visakhapatnam,1,2,7,14,14,0,1,50.00,bowled,No
20-12-2017,T20I,2017, Sri Lanka,Cuttack,1,1,17,21,13,2,0,130.76,caught,No
22-12-2017,T20I,2017, Sri Lanka,Indore,1,1,118,61,43,12,10,274.41,caught,No
24-12-2017,T20I,2017, Sri Lanka,Wankhede,1,2,27,31,20,4,1,135.00,caught,No
05-01-2018,Test,2018, South Africa,Cape Town,5,2,11,95,59,1,0,18.64,lbw,No
